種類,年月,業者名稱,通話分鐘數(分),用戶數,平均用戶通話分鐘數(分)
3G,103/2,亞太電信股份有限公司,260945331,2117795,123.22
3G,103/2,威寶電信股份有限公司(至103年12止),106323526,1699636,62.56
3G,103/2,遠傳電信股份有限公司,685174097,6479572,105.74
2G,103/2,中華電信股份有限公司,154304267,2440396,63.23
2G,103/2,台灣大哥大股份有限公司,25011409,691346,36.18
2G,103/2,遠傳電信股份有限公司,46599611,739722,63
3G,103/1,中華電信股份有限公司,890146331,8174118,108.9
3G,103/1,台灣大哥大股份有限公司,575989336,6512235,88.45
3G,103/1,亞太電信股份有限公司,306452448,2156153,142.13
3G,103/1,威寶電信股份有限公司(至103年12止),123918070,1675885,73.94
3G,103/1,遠傳電信股份有限公司,778294699,6422028,121.19
2G,103/1,中華電信股份有限公司,165896282,2529436,65.59
2G,103/1,台灣大哥大股份有限公司,29797789,733678,40.61
2G,103/1,遠傳電信股份有限公司,54476937,769606,70.79
3G,102/12,中華電信股份有限公司,832012531,8036591,103.53
3G,102/12,台灣大哥大股份有限公司,577884232,6441518,89.71
3G,102/12,亞太電信股份有限公司,321883451,2196839,146.52
3G,102/12,威寶電信股份有限公司(至103年12止),124783664,1737251,71.83
3G,102/12,遠傳電信股份有限公司,776987971,6359958,122.17
2G,102/12,中華電信股份有限公司,168270751,2619759,64.23
2G,102/12,台灣大哥大股份有限公司,32341463,783722,41.27
2G,102/12,遠傳電信股份有限公司,57365186,801645,71.56
3G,102/11,中華電信股份有限公司,849162122,7883827,107.71
3G,102/11,台灣大哥大股份有限公司,553376061,6356655,87.05
3G,102/11,亞太電信股份有限公司,319751269,2239097,142.8
3G,102/11,威寶電信股份有限公司(至103年12止),122599868,1783203,68.75
3G,102/11,遠傳電信股份有限公司,745629255,6301890,118.32
2G,102/11,中華電信股份有限公司,183119207,2740380,66.82
2G,102/11,台灣大哥大股份有限公司,34305479,840929,40.79
2G,102/11,遠傳電信股份有限公司,58348467,834009,69.96
3G,102/10,中華電信股份有限公司,820064597,7750714,105.81
3G,102/10,台灣大哥大股份有限公司,578872847,6283906,92.12
3G,102/10,亞太電信股份有限公司,349237326,2291118,152.43
3G,102/10,威寶電信股份有限公司(至103年12止),131274167,1796268,73.08
3G,102/10,遠傳電信股份有限公司,777184961,6249247,124.36
2G,102/10,中華電信股份有限公司,183347403,2835683,64.66
2G,102/10,台灣大哥大股份有限公司,38860174,891543,43.59
2G,102/10,遠傳電信股份有限公司,64655846,863263,74.9
3G,102/9,中華電信股份有限公司,844256503.5,7625831,110.71
3G,102/9,台灣大哥大股份有限公司,574134563,6213596,92.4
3G,102/9,亞太電信股份有限公司,361107393,2343950,154.06
3G,102/9,威寶電信股份有限公司(至103年12止),132566111.8,1784918,74.27
3G,102/9,遠傳電信股份有限公司,761177641,6192485,122.92
2G,102/9,中華電信股份有限公司,198529379,2924599,67.88
2G,102/9,台灣大哥大股份有限公司,42173133,944052,44.67
2G,102/9,遠傳電信股份有限公司,74556020,896364,83.18
3G,102/8,中華電信股份有限公司,856172489.6,7497115,114.2
3G,102/8,台灣大哥大股份有限公司,597739535,6149489,97.2
3G,102/8,亞太電信股份有限公司,400331290,2394830,167.16
3G,102/8,威寶電信股份有限公司(至103年12止),144531105.3,1768933,81.71
3G,102/8,遠傳電信股份有限公司,784434623.8,6131989,127.92
2G,102/8,中華電信股份有限公司,213077716,3003588,70.94
2G,102/8,台灣大哥大股份有限公司,46925784,987467,47.52
2G,102/8,遠傳電信股份有限公司,90102968,929259,96.96
3G,102/7,中華電信股份有限公司,819803434,7366738,111.28
3G,102/7,台灣大哥大股份有限公司,613741452,6093271,100.72
3G,102/7,亞太電信股份有限公司,429172030,2454904,174.82
3G,102/7,威寶電信股份有限公司(至103年12止),150529766,1751543,85.94
3G,102/7,遠傳電信股份有限公司,795344790,6067177,131.09
2G,102/7,中華電信股份有限公司,208820616,3092099,67.53
2G,102/7,台灣大哥大股份有限公司,50916878,1024910,49.68
2G,102/7,遠傳電信股份有限公司,102916192,967431,106.38
3G,102/6,中華電信股份有限公司,848230510,7239689,117.16
3G,102/6,台灣大哥大股份有限公司,596783629,6046422,98.7
3G,102/6,亞太電信股份有限公司,434465438,2509673,173.12
3G,102/6,威寶電信股份有限公司(至103年12止),150728560,1735262,86.86
3G,102/6,遠傳電信股份有限公司,773134409,5997428,128.91
2G,102/6,中華電信股份有限公司,225211733,3180826,70.8
2G,102/6,台灣大哥大股份有限公司,52227845,1059738,49.28
2G,102/6,遠傳電信股份有限公司,104388232,1000779,104.31
3G,102/5,中華電信股份有限公司,794944299.8,7147203,111.22
3G,102/5,台灣大哥大股份有限公司,623617303,6004125,103.86
3G,102/5,亞太電信股份有限公司,482988235,2559772,188.68
3G,102/5,威寶電信股份有限公司(至103年12止),165885885.3,1717741,96.57
3G,102/5,遠傳電信股份有限公司,807229573.5,5934149,136.03
2G,102/5,中華電信股份有限公司,217267139,3243500,66.99
2G,102/5,台灣大哥大股份有限公司,56713893,1085988,52.22
2G,102/5,遠傳電信股份有限公司,112142904,1034439,108.41
3G,102/4,中華電信股份有限公司,815105020,7052253,115.58
